"stock","timeStamp","month","open","high","low","close","change"
"TEJASNET","2019-03-20 00:00:00","March","174.4","175","167","167.75","-0.03813"
"TERASOFT","2019-03-20 00:00:00","March","40.35","40.35","38.5","38.95","-0.0347"
"TEXINFRA","2019-03-20 00:00:00","March","56.95","57.15","55.3","55.55","-0.02458"
"TEXMOPIPES","2019-03-20 00:00:00","March","20.25","20.65","20","20.15","-0.00494"
"TEXRAIL","2019-03-20 00:00:00","March","69.7","71.2","69.2","70.8","0.01578"
"TFCILTD","2019-03-20 00:00:00","March","120.5","120.6","117.6","117.95","-0.02116"
"TFL","2019-03-20 00:00:00","March","4.5","4.95","4.5","4.9","0.08889"
"TGBHOTELS","2019-03-20 00:00:00","March","11.85","12.1","11.6","11.65","-0.01688"
"THANGAMAYL","2019-03-20 00:00:00","March","349","353.45","341","345.95","-0.00874"
"THEINVEST","2019-03-20 00:00:00","March","150","181.1","148.45","176.65","0.17767"
"THEMISMED","2019-03-20 00:00:00","March","302","302","297.05","297.25","-0.01573"
"THERMAX","2019-03-20 00:00:00","March","995.05","995.05","977.5","978.45","-0.01668"
"THOMASCOOK","2019-03-20 00:00:00","March","221.9","228","220.25","226","0.01848"
"THYROCARE","2019-03-20 00:00:00","March","521.05","558","521.05","541.25","0.03877"
"TI","2019-03-20 00:00:00","March","526.05","526.25","511.05","513.6","-0.02367"
"TIDEWATER","2019-03-20 00:00:00","March","1138.4","1148.8","1121","1124.2","-0.01247"
"TIIL","2019-03-20 00:00:00","March","559.95","559.95","546.95","551.1","-0.0158"
"TIINDIA","2019-03-20 00:00:00","March","386.8","387.95","368","370.8","-0.04137"
"TIJARIA","2019-03-20 00:00:00","March","17.9","17.9","16.4","16.75","-0.06425"
"TIL","2019-03-20 00:00:00","March","0.78","0.78","0.78","0.78","0"
"TIMESGTY","2019-03-20 00:00:00","March","37.9","43.2","37.9","40.7","0.07388"
"TITAN","2019-03-20 00:00:00","March","1111","1115","1098","1102.35","-0.00779"
"TMRVL","2019-03-20 00:00:00","March","31","32.7","30.5","30.65","-0.01129"
"TNPETRO","2019-03-20 00:00:00","March","36.1","36.2","35.55","35.65","-0.01247"
"TNPL","2019-03-20 00:00:00","March","216","218.9","214.3","215.4","-0.00278"
"TNTELE","2019-03-20 00:00:00","March","1.45","1.45","1.45","1.45","0"
"TOKYOPLAST","2019-03-20 00:00:00","March","51.5","53.4","51.5","51.65","0.00291"
"TORNTPHARM","2019-03-20 00:00:00","March","1873.85","1880","1855.25","1867.9","-0.00318"
"TORNTPOWER","2019-03-20 00:00:00","March","265.85","265.85","259.5","260.25","-0.02106"
"TOTAL","2019-03-20 00:00:00","March","117.8","117.9","116","116.65","-0.00976"
"TOUCHWOOD","2019-03-20 00:00:00","March","28.74","28.74","28.74","28.74","0"
"TPLPLASTEH","2019-03-20 00:00:00","March","137.45","139.5","131.8","138.05","0.00437"
"TREEHOUSE","2019-03-20 00:00:00","March","5.6","5.6","5.6","5.6","0"
"TRENT","2019-03-20 00:00:00","March","372.85","374","365.35","369.75","-0.00831"
"TRF","2019-03-20 00:00:00","March","4.5","4.95","4.5","4.9","0.08889"
"TRIDENT","2019-03-20 00:00:00","March","6.86","6.86","6.72","6.75","-0.01603"
"TRIGYN","2019-03-20 00:00:00","March","76.75","78.4","76.25","76.5","-0.00326"
"TRITURBINE","2019-03-20 00:00:00","March","110.8","111.8","108.1","109.95","-0.00767"
"TRIVENI","2019-03-20 00:00:00","March","110.8","111.8","108.1","109.95","-0.00767"
"TTKHLTCARE","2019-03-20 00:00:00","March","676.35","682.55","669.65","672.8","-0.00525"
"TTKPRESTIG","2019-03-20 00:00:00","March","672.6","682.5","646","648.53","-0.03579"
"TTL","2019-03-20 00:00:00","March","61.95","62","59.55","60.55","-0.0226"
"TTML","2019-03-20 00:00:00","March","3.15","3.4","3.15","3.35","0.06349"
"TV18BRDCST","2019-03-20 00:00:00","March","35.8","35.95","34.95","35.2","-0.01676"
"TVSELECT","2019-03-20 00:00:00","March","185.65","190.5","184","184.5","-0.00619"
"TVSMOTOR","2019-03-20 00:00:00","March","479.8","479.8","472.4","474.3","-0.01146"
"TVSSRICHAK","2019-03-20 00:00:00","March","2200","2235","2180","2198.55","-0.00066"
"TVTODAY","2019-03-20 00:00:00","March","328","329.9","325.2","327.9","-0.0003"
"TWL","2019-03-20 00:00:00","March","71","71.85","70","70.55","-0.00634"
"UBL","2019-03-20 00:00:00","March","1381.6","1393.7","1374.5","1384.65","0.00221"
"UCALFUEL","2019-03-20 00:00:00","March","170.6","170.6","166.3","167.7","-0.017"
"UCOBANK","2019-03-20 00:00:00","March","18.9","19.05","18.65","18.75","-0.00794"
"UDAICEMENT","2019-03-20 00:00:00","March","15.3","15.5","14.84","14.93","-0.02418"
"UFLEX","2019-03-20 00:00:00","March","222","223","219","220.25","-0.00788"
"UFO","2019-03-20 00:00:00","March","251.55","252.65","242.05","244.3","-0.02882"
"UGARSUGAR","2019-03-20 00:00:00","March","14.75","15.2","14.5","14.75","0"
"UGROCAP","2019-03-20 00:00:00","March","173.95","178.7","165","174","0.00029"
"UJAAS","2019-03-20 00:00:00","March","7.35","7.35","7.1","7.1","-0.03401"
"UJJIVAN","2019-03-20 00:00:00","March","339.8","340.35","331.85","333.55","-0.01839"
"ULTRACEMCO","2019-03-20 00:00:00","March","4004.7","4009.75","3910.9","3922.3","-0.02058"
"UMANGDAIRY","2019-03-20 00:00:00","March","57.55","60","57.35","57.9","0.00608"
"UNICHEMLAB","2019-03-20 00:00:00","March","194.25","194.95","191","191.4","-0.01467"
"UNIDT","2019-03-20 00:00:00","March","115","120","113","113.5","-0.01304"
"UNIENTER","2019-03-20 00:00:00","March","106.2","110.9","106.15","108.2","0.01883"
"UNIINFO","2019-03-20 00:00:00","March","34.7","36.7","34.7","36","0.03746"
"UNIONBANK","2019-03-20 00:00:00","March","88.15","89.15","86.2","88.45","0.0034"
"UNITECH","2019-03-20 00:00:00","March","1.35","1.35","1.35","1.35","0"
"UNITEDTEA","2019-03-20 00:00:00","March","313.05","313.05","312.15","312.95","-0.00032"
"UNIVCABLES","2019-03-20 00:00:00","March","219","227.9","216.55","225.65","0.03037"
"UPL","2019-03-20 00:00:00","March","620","626.53","618.07","623.6","0.00581"
"URJA","2019-03-20 00:00:00","March","2.73","2.73","2.63","2.68","-0.01832"
"USHAMART","2019-03-20 00:00:00","March","36.45","39.8","35.75","38.85","0.06584"
"UTTAMSTL","2019-03-20 00:00:00","March","11.65","11.8","11.2","11.2","-0.03863"
"UTTAMSUGAR","2019-03-20 00:00:00","March","124.8","124.8","118.25","119.25","-0.04447"
"V2RETAIL","2019-03-20 00:00:00","March","296.65","298.9","292.5","294.15","-0.00843"
"VADILALIND","2019-03-20 00:00:00","March","558","588.75","558","579.7","0.03889"
"VAIBHAVGBL","2019-03-20 00:00:00","March","128.7","129.42","126.6","126.78","-0.01492"
"VAISHALI","2019-03-20 00:00:00","March","26","26","25","25","-0.03846"
"VAKRANGEE","2019-03-20 00:00:00","March","51.2","51.9","50.4","51.25","0.00098"
"VALIANTORG","2019-03-20 00:00:00","March","779.4","789","775.53","775.53","-0.00497"
"VARDHACRLC","2019-03-20 00:00:00","March","41.6","43","40.2","41.2","-0.00962"
"VARDMNPOLY","2019-03-20 00:00:00","March","9.8","10.5","9.5","9.7","-0.0102"
"VARROC","2019-03-20 00:00:00","March","600","604.15","590","599.1","-0.0015"
"VASCONEQ","2019-03-20 00:00:00","March","16","16.3","15.75","15.8","-0.0125"
"VASWANI","2019-03-20 00:00:00","March","10.45","10.5","9.7","10.05","-0.03828"
"VBL","2019-03-20 00:00:00","March","362.22","365.33","360.44","364.22","0.00552"
"VEDL","2019-03-20 00:00:00","March","174.25","175.45","172.55","174.55","0.00172"
"VENKEYS","2019-03-20 00:00:00","March","2255.3","2267","2230","2238.55","-0.00743"
"VENUSREM","2019-03-20 00:00:00","March","33.8","34.6","33.5","33.65","-0.00444"
"VERTOZ","2019-03-20 00:00:00","March","98","103","95.62","98.28","0.00286"
"VESUVIUS","2019-03-20 00:00:00","March","1219","1219","1170","1185.9","-0.02715"
"VETO","2019-03-20 00:00:00","March","68.05","71.4","68.05","70.2","0.03159"
"VGUARD","2019-03-20 00:00:00","March","217","221.4","216.05","218.45","0.00668"
"VHL","2019-03-20 00:00:00","March","2270.05","2295.05","2205","2212.8","-0.02522"
"VICEROY","2019-03-20 00:00:00","March","4.85","4.85","4.5","4.7","-0.03093"
"VIDHIING","2019-03-20 00:00:00","March","84.85","85.85","81.5","81.75","-0.03654"
"VIJIFIN","2019-03-20 00:00:00","March","0.9","0.95","0.85","0.95","0.05556"
"VIKASECO","2019-03-20 00:00:00","March","10.8","10.9","10.3","10.35","-0.04167"
"VIKASPROP","2019-03-20 00:00:00","March","10.38","10.38","10.38","10.38","0"
"PGHH","2019-03-20 00:00:00","March","10440","10440","10248","10295.3","-0.01386"
"PGHL","2019-03-20 00:00:00","March","3302.6","3399.9","3302.6","3376.05","0.02224"
"PGIL","2019-03-20 00:00:00","March","189.9","189.9","176.15","178.3","-0.06108"
"PHILIPCARB","2019-03-20 00:00:00","March","174.05","177.9","172.35","175.65","0.00919"
"PHOENIXLTD","2019-03-20 00:00:00","March","686","687.9","672.1","681.55","-0.00649"
"PIDILITIND","2019-03-20 00:00:00","March","1182","1187","1165","1176.75","-0.00444"
"PIIND","2019-03-20 00:00:00","March","1013.9","1017","998","1002.65","-0.0111"
"PILANIINVS","2019-03-20 00:00:00","March","1585.71","1585.71","1514.29","1548.54","-0.02344"
"PILITA","2019-03-20 00:00:00","March","5.75","6.35","5.75","6.25","0.08696"
"PIONDIST","2019-03-20 00:00:00","March","153.05","155.35","149.55","150.05","-0.0196"
"PIONEEREMB","2019-03-20 00:00:00","March","23.25","24.95","23.25","23.7","0.01935"
"PITTIENG","2019-03-20 00:00:00","March","53.8","53.8","50.3","50.95","-0.05297"
"PKTEA","2019-03-20 00:00:00","March","164.4","181.6","164.4","180.45","0.09763"
"PLASTIBLEN","2019-03-20 00:00:00","March","194.5","196.5","193.5","194.25","-0.00129"
"PNB","2019-03-20 00:00:00","March","91","94.15","89.35","93.55","0.02802"
"PNBGILTS","2019-03-20 00:00:00","March","32.2","32.2","31.3","31.5","-0.02174"
"PNBHOUSING","2019-03-20 00:00:00","March","852.8","881.3","849.95","859.8","0.00821"
"PNC","2019-03-20 00:00:00","March","159.45","162","157.2","159.65","0.00125"
"PNCINFRA","2019-03-20 00:00:00","March","159.45","162","157.2","159.65","0.00125"
"PODDARHOUS","2019-03-20 00:00:00","March","471","479","466.1","471.95","0.00202"
"PODDARMENT","2019-03-20 00:00:00","March","185","188","181.1","182.9","-0.01135"
"POKARNA","2019-03-20 00:00:00","March","172.6","174","169.2","170.25","-0.01362"
"POLYMED","2019-03-20 00:00:00","March","214.45","217.05","212.75","215.65","0.0056"
"POLYPLEX","2019-03-20 00:00:00","March","516.3","522.3","502.6","505.1","-0.02169"
"PONNIERODE","2019-03-20 00:00:00","March","133.2","136","133.2","135","0.01351"
"POONAWALLA","2019-03-20 00:00:00","March","113.6","114","111.5","113.2","-0.00352"
"POWERGRID","2019-03-20 00:00:00","March","199.25","199.85","196.5","197.4","-0.00928"
"POWERMECH","2019-03-20 00:00:00","March","985","993.05","971.8","973.6","-0.01157"
"PPAP","2019-03-20 00:00:00","March","311.05","312","293.7","295.85","-0.04887"
"PRAENG","2019-03-20 00:00:00","March","9","9","8.45","8.8","-0.02222"
"PRAJIND","2019-03-20 00:00:00","March","152","157.85","152","154.7","0.01776"
"PRAKASH","2019-03-20 00:00:00","March","113.25","113.25","110.15","111","-0.01987"
"PRAKASHSTL","2019-03-20 00:00:00","March","0.35","0.35","0.3","0.3","-0.14286"
"PRAXIS","2019-03-20 00:00:00","March","177.1","182","175","180.4","0.01863"
"PRECAM","2019-03-20 00:00:00","March","58.75","59.5","58","58.35","-0.00681"
"PRECOT","2019-03-20 00:00:00","March","45","45.1","45","45.1","0.00222"
"PRECWIRE","2019-03-20 00:00:00","March","40.91","41.89","40.72","40.84","-0.00171"
"PREMEXPLN","2019-03-20 00:00:00","March","246.8","255","246.05","247.35","0.00223"
"PREMIERPOL","2019-03-20 00:00:00","March","24.1","24.3","24","24","-0.00415"
"PRESSMN","2019-03-20 00:00:00","March","31.25","31.25","30.05","30.2","-0.0336"
"PRESTIGE","2019-03-20 00:00:00","March","250","258.6","246.5","253.3","0.0132"
"PRICOLLTD","2019-03-20 00:00:00","March","34.18","35.29","33.83","34.05","-0.0038"
"PRIMESECU","2019-03-20 00:00:00","March","39.8","42.25","38.8","41.4","0.0402"
"PRITIKAUTO","2019-03-20 00:00:00","March","27.07","28.16","26.81","27.78","0.02623"
"PRIVISCL","2019-03-20 00:00:00","March","335.49","341.69","332.45","336.69","0.00358"
"PROZONINTU","2019-03-20 00:00:00","March","30.9","31.45","30.3","30.75","-0.00485"
"PRSMJOHNSN","2019-03-20 00:00:00","March","90.7","91.3","89.2","89.45","-0.01378"
"PSB","2019-03-20 00:00:00","March","31.2","31.2","30.55","30.75","-0.01442"
"PSPPROJECT","2019-03-20 00:00:00","March","471.9","471.9","463.15","467.45","-0.00943"
"PTC","2019-03-20 00:00:00","March","78.1","78.8","76.7","76.85","-0.01601"
"PTL","2019-03-20 00:00:00","March","20.1","20.1","19.55","19.62","-0.02388"
"PUNJABCHEM","2019-03-20 00:00:00","March","698.05","703.15","698","698.6","0.00079"
"PUNJLLOYD","2019-03-20 00:00:00","March","2.3","2.5","2.3","2.4","0.04348"
"PURVA","2019-03-20 00:00:00","March","78.95","81.5","78.9","80.75","0.0228"
"PVP","2019-03-20 00:00:00","March","3.5","3.6","3.45","3.55","0.01429"
"PVR","2019-03-20 00:00:00","March","1657.51","1662.81","1592.8","1599.04","-0.03528"
"QUESS","2019-03-20 00:00:00","March","802.65","808.9","780","783.8","-0.02348"
"QUICKHEAL","2019-03-20 00:00:00","March","228.45","228.45","225.1","226.75","-0.00744"
"RADAAN","2019-03-20 00:00:00","March","2.9","3.1","2.85","3","0.03448"
"RADICO","2019-03-20 00:00:00","March","401.8","413.6","395.5","409.95","0.02028"
"RADIOCITY","2019-03-20 00:00:00","March","61.95","61.95","60.1","60.4","-0.02502"
"RAIN","2019-03-20 00:00:00","March","105.75","105.8","99.5","102.3","-0.03262"
"RAJESHEXPO","2019-03-20 00:00:00","March","638","650","637.55","646.35","0.01309"
"RAJMET","2019-03-20 00:00:00","March","8.75","8.75","8.73","8.73","-0.00229"
"RAJSREESUG","2019-03-20 00:00:00","March","22.1","22.1","21.2","21.65","-0.02036"
"RAJTV","2019-03-20 00:00:00","March","38.85","39","38.85","38.95","0.00257"
"RALLIS","2019-03-20 00:00:00","March","159.4","163.95","155.75","161.5","0.01317"
"RAMANEWS","2019-03-20 00:00:00","March","23","23","22.3","22.5","-0.02174"
"RAMASTEEL","2019-03-20 00:00:00","March","101.05","102.15","100","101.5","0.00445"
"RAMCOCEM","2019-03-20 00:00:00","March","718.55","725.55","704.3","707.6","-0.01524"
"RAMCOIND","2019-03-20 00:00:00","March","205.1","211.45","204.6","205.9","0.0039"
"RAMCOSYS","2019-03-20 00:00:00","March","254.95","255.1","249.5","251.25","-0.01451"
"RAMKY","2019-03-20 00:00:00","March","112.9","113.9","107","108","-0.0434"
"RANASUG","2019-03-20 00:00:00","March","3.7","3.7","3.55","3.55","-0.04054"
"RANEENGINE","2019-03-20 00:00:00","March","473.95","473.95","452.15","453.15","-0.04389"
"RANEHOLDIN","2019-03-20 00:00:00","March","1234","1234","1200","1215.05","-0.01536"
"RATNAMANI","2019-03-20 00:00:00","March","901","911.95","890.55","909.8","0.00977"
"RAYMOND","2019-03-20 00:00:00","March","823","838.6","813","818","-0.00608"
"RBL","2019-03-20 00:00:00","March","646.95","648","636","644.75","-0.0034"
"RBLBANK","2019-03-20 00:00:00","March","646.95","648","636","644.75","-0.0034"
"RCF","2019-03-20 00:00:00","March","58.7","59","57.45","57.75","-0.01618"
"RCOM","2019-03-20 00:00:00","March","4.8","4.8","4.65","4.8","0"
"RECLTD","2019-03-20 00:00:00","March","149.15","150","144.2","144.9","-0.02849"
"REDINGTON","2019-03-20 00:00:00","March","47.94","49.28","47.2","48.02","0.00167"
"REFEX","2019-03-20 00:00:00","March","49.64","49.64","44.99","45.23","-0.08884"
"RELAXO","2019-03-20 00:00:00","March","380.98","382.45","374","376.07","-0.01289"
"RELCAPITAL","2019-03-20 00:00:00","March","190","193.2","188.5","189.65","-0.00184"
"RELIANCE","2019-03-20 00:00:00","March","1364.86","1374.97","1351.19","1362.53","-0.00171"
"RELIGARE","2019-03-20 00:00:00","March","31","31","30.25","30.4","-0.01935"
"RELINFRA","2019-03-20 00:00:00","March","137.4","140","135.65","137.15","-0.00182"
"REMSONSIND","2019-03-20 00:00:00","March","86","86","83.2","84.5","-0.01744"
"RENUKA","2019-03-20 00:00:00","March","11","11.1","10.9","10.9","-0.00909"
"REPCOHOME","2019-03-20 00:00:00","March","456.1","458.65","446.1","453.9","-0.00482"
"REPRO","2019-03-20 00:00:00","March","589.35","589.35","572","573.95","-0.02613"
"RESPONIND","2019-03-20 00:00:00","March","89","89","86.25","86.8","-0.02472"
"REVATHI","2019-03-20 00:00:00","March","442.1","442.1","405","408.25","-0.07657"
"RGL","2019-03-20 00:00:00","March","315","325","310.65","322.4","0.02349"
"RHFL","2019-03-20 00:00:00","March","456.1","458.65","446.1","453.9","-0.00482"
"RHIM","2019-03-20 00:00:00","March","249.35","249.35","240.05","242.95","-0.02567"
"RICOAUTO","2019-03-20 00:00:00","March","64","64.9","63.2","63.5","-0.00781"
"RIIL","2019-03-20 00:00:00","March","335","336.95","328","329.5","-0.01642"
"RITES","2019-03-20 00:00:00","March","214.4","214.4","208.12","208.48","-0.02761"
"RKEC","2019-03-20 00:00:00","March","58.6","58.6","57.25","57.25","-0.02304"
"RKFORGE","2019-03-20 00:00:00","March","532.95","533.5","512","517.1","-0.02974"
"RMCL","2019-03-20 00:00:00","March","20.7","21.2","19.9","20.2","-0.02415"
"RML","2019-03-20 00:00:00","March","395.05","406.2","381.7","384.1","-0.02772"
"RNAVAL","2019-03-20 00:00:00","March","10.5","10.5","10.5","10.5","0"
"ROHITFERRO","2019-03-20 00:00:00","March","1.25","1.25","1.25","1.25","0"
"ROHLTD","2019-03-20 00:00:00","March","127.05","127.4","122.5","123.2","-0.0303"
"ROLLT","2019-03-20 00:00:00","March","2.3","2.45","2.3","2.45","0.06522"
"ROLTA","2019-03-20 00:00:00","March","7.25","7.95","7.25","7.95","0.09655"
"ROSSELLIND","2019-03-20 00:00:00","March","68.25","69.15","67.3","67.95","-0.0044"
"RPGLIFE","2019-03-20 00:00:00","March","262","263.05","256.05","258.75","-0.0124"
"RPOWER","2019-03-20 00:00:00","March","11.2","11.3","10.85","10.9","-0.02679"
"RPPINFRA","2019-03-20 00:00:00","March","109.9","109.9","105.35","106.6","-0.03003"
"RPPL","2019-03-20 00:00:00","March","100.4","100.4","100.4","100.4","0"
"RPSGVENT","2019-03-20 00:00:00","March","603.05","618","595","598.65","-0.0073"
"RSSOFTWARE","2019-03-20 00:00:00","March","29.5","30.45","29.4","29.7","0.00678"
"RSWM","2019-03-20 00:00:00","March","184","191.45","183","183.7","-0.00163"
"RSYSTEMS","2019-03-20 00:00:00","March","51.25","52","50.1","51","-0.00488"
"RTNINDIA","2019-03-20 00:00:00","March","2.85","2.9","2.75","2.75","-0.03509"
"RTNPOWER","2019-03-20 00:00:00","March","2.78","2.83","2.77","2.78","0"
"RUBYMILLS","2019-03-20 00:00:00","March","283.85","285","274.95","277.75","-0.02149"
"RUCHI","2019-03-20 00:00:00","March","790","790","725","775","-0.01899"
"RUCHINFRA","2019-03-20 00:00:00","March","2.9","3.15","2.85","3.1","0.06897"
"RUCHIRA","2019-03-20 00:00:00","March","108","108.55","105.3","106.65","-0.0125"
"RUPA","2019-03-20 00:00:00","March","332","337.75","330","331.6","-0.0012"
"RUSHIL","2019-03-20 00:00:00","March","399.89","414.59","399.89","402.52","0.00658"
"SADBHAV","2019-03-20 00:00:00","March","245.6","255","240.35","251.75","0.02504"
"SADBHIN","2019-03-20 00:00:00","March","91","93.9","90.05","91.4","0.0044"
"SAGARDEEP","2019-03-20 00:00:00","March","48.97","50.97","48.4","50.43","0.02981"
"SAGCEM","2019-03-20 00:00:00","March","704.85","705","688","694.85","-0.01419"
"SAIL","2019-03-20 00:00:00","March","53.6","53.9","52","53.05","-0.01026"
"SAKAR","2019-03-20 00:00:00","March","52","52","52","52","0"
"SAKHTISUG","2019-03-20 00:00:00","March","11.3","11.75","11.3","11.65","0.03097"
"SAKSOFT","2019-03-20 00:00:00","March","287.35","295.75","284.25","292.4","0.01757"
"SAKUMA","2019-03-20 00:00:00","March","32.15","32.3","26.15","28.05","-0.12753"
"SALASAR","2019-03-20 00:00:00","March","228.2","230.05","182.45","198.5","-0.13015"
"SALONA","2019-03-20 00:00:00","March","67","69.45","65.55","69","0.02985"
"SALSTEEL","2019-03-20 00:00:00","March","5","5.25","5","5.1","0.02"
"SALZERELEC","2019-03-20 00:00:00","March","125.6","126","120.25","122.55","-0.02428"
"SAMBHAAV","2019-03-20 00:00:00","March","4.35","4.95","4.15","4.95","0.13793"
"SANCO","2019-03-20 00:00:00","March","13.15","13.15","12.5","12.6","-0.04183"
"SANDESH","2019-03-20 00:00:00","March","754.4","849.9","752.05","797.8","0.05753"
"SANDHAR","2019-03-20 00:00:00","March","271","280.6","271","279.95","0.03303"
"SANGAMIND","2019-03-20 00:00:00","March","66.55","67","65.7","66.5","-0.00075"
"SANGHIIND","2019-03-20 00:00:00","March","60.9","61","60","60.55","-0.00575"
"PGHH","2019-04-10 00:00:00","April","10777","10825","10705.1","10757.75","-0.00179"
"PGHL","2019-04-10 00:00:00","April","3950","3983","3851","3861.1","-0.02251"
"PGIL","2019-04-10 00:00:00","April","169.35","170","164","166","-0.01978"
"PHILIPCARB","2019-04-10 00:00:00","April","167.7","175.45","166.75","172.05","0.02594"
"PHOENIXLTD","2019-04-10 00:00:00","April","648.65","664","645.2","657.7","0.01395"
"PIDILITIND","2019-04-10 00:00:00","April","1270","1286.2","1270","1282.15","0.00957"
"PIIND","2019-04-10 00:00:00","April","1006","1030.3","1000.95","1015.65","0.00959"
"PILANIINVS","2019-04-10 00:00:00","April","1782.79","1807.89","1764.29","1781.5","-0.00072"
"PILITA","2019-04-10 00:00:00","April","7.85","8","7.5","7.95","0.01274"
"PIONDIST","2019-04-10 00:00:00","April","146.6","148.5","143","144.4","-0.01501"
"PIONEEREMB","2019-04-10 00:00:00","April","22.1","23.65","22.1","23","0.04072"
"PITTIENG","2019-04-10 00:00:00","April","54.55","56","54.55","55.7","0.02108"
"PKTEA","2019-04-10 00:00:00","April","154","168.5","153","166.9","0.08377"
"PLASTIBLEN","2019-04-10 00:00:00","April","189.95","190.35","189.95","190","0.00026"
"PNB","2019-04-10 00:00:00","April","94","94.95","93.05","93.35","-0.00691"
"PNBGILTS","2019-04-10 00:00:00","April","32.25","32.25","31.5","31.7","-0.01705"
"PNBHOUSING","2019-04-10 00:00:00","April","890","890","860","862.35","-0.03107"
"PNC","2019-04-10 00:00:00","April","149.45","150.45","148.95","149.85","0.00268"
"PNCINFRA","2019-04-10 00:00:00","April","149.45","150.45","148.95","149.85","0.00268"
"PODDARHOUS","2019-04-10 00:00:00","April","581","589.95","552","563.55","-0.03003"
"PODDARMENT","2019-04-10 00:00:00","April","179.5","180","176","176","-0.0195"
"POKARNA","2019-04-10 00:00:00","April","181.4","181.9","177.2","181.55","0.00083"
"POLYMED","2019-04-10 00:00:00","April","216.35","217","205.25","207","-0.04322"
"POLYPLEX","2019-04-10 00:00:00","April","544","544","531.1","532.7","-0.02077"
"PONNIERODE","2019-04-10 00:00:00","April","134.55","134.55","132","134.05","-0.00372"
"POONAWALLA","2019-04-10 00:00:00","April","120.4","122.15","119.1","121.5","0.00914"
"POWERGRID","2019-04-10 00:00:00","April","197.75","199.65","197.75","198.65","0.00455"
"POWERMECH","2019-04-10 00:00:00","April","947.95","954.85","933.6","936.15","-0.01245"
"PPAP","2019-04-10 00:00:00","April","304.45","304.5","295.2","298.9","-0.01823"
"PRAENG","2019-04-10 00:00:00","April","9.35","9.35","8.7","8.9","-0.04813"
"PRAJIND","2019-04-10 00:00:00","April","143.7","152.8","143.7","146.75","0.02122"
"PRAKASH","2019-04-10 00:00:00","April","119.3","119.9","117.9","118.9","-0.00335"
"PRAKASHSTL","2019-04-10 00:00:00","April","0.3","0.3","0.25","0.25","-0.16667"
"PRAXIS","2019-04-10 00:00:00","April","161.95","161.95","158","159.6","-0.01451"
"PRECAM","2019-04-10 00:00:00","April","59.8","59.9","58.75","59.05","-0.01254"
"PRECOT","2019-04-10 00:00:00","April","47","47","45","45.05","-0.04149"
"PRECWIRE","2019-04-10 00:00:00","April","40.69","40.7","39.49","40.14","-0.01352"
"PREMEXPLN","2019-04-10 00:00:00","April","236.25","238.65","234","235.35","-0.00381"
"PREMIERPOL","2019-04-10 00:00:00","April","26.85","27","24.85","25.2","-0.06145"
"PRESSMN","2019-04-10 00:00:00","April","30.45","30.45","29.15","29.45","-0.03284"
"PRESTIGE","2019-04-10 00:00:00","April","268","271","264","268.6","0.00224"
"PRICOLLTD","2019-04-10 00:00:00","April","35.38","36.27","33.6","35.43","0.00141"
"PRIMESECU","2019-04-10 00:00:00","April","39.35","40.9","39.35","40.2","0.0216"
"PRITIKAUTO","2019-04-10 00:00:00","April","31.69","31.69","30.58","31.02","-0.02114"
"PRIVISCL","2019-04-10 00:00:00","April","356.27","360.08","352.35","357.5","0.00345"
"PROZONINTU","2019-04-10 00:00:00","April","32","32.4","31.25","31.7","-0.00938"
"PRSMJOHNSN","2019-04-10 00:00:00","April","94","94.4","92.25","93.55","-0.00479"
"PSB","2019-04-10 00:00:00","April","31.25","31.5","30.85","31","-0.008"
"PSPPROJECT","2019-04-10 00:00:00","April","480.95","480.95","472","477.85","-0.00645"
"PTC","2019-04-10 00:00:00","April","74.65","74.65","73.55","73.8","-0.01139"
"PTL","2019-04-10 00:00:00","April","20.3","20.55","20.02","20.18","-0.00591"
"PUNJABCHEM","2019-04-10 00:00:00","April","734","744.75","720.05","722","-0.01635"
"PUNJLLOYD","2019-04-10 00:00:00","April","2.15","2.15","2","2","-0.06977"
"PURVA","2019-04-10 00:00:00","April","75","77.6","74.15","76.5","0.02"
"PVR","2019-04-10 00:00:00","April","1649.65","1689.57","1639.83","1664.04","0.00872"
"QUESS","2019-04-10 00:00:00","April","720.85","721.55","710","713","-0.01089"
"QUICKHEAL","2019-04-10 00:00:00","April","222.25","223.65","220.25","221","-0.00562"
"RADAAN","2019-04-10 00:00:00","April","3","3.15","2.8","3","0"
"RADICO","2019-04-10 00:00:00","April","382.65","387.7","380","380.55","-0.00549"
"RADIOCITY","2019-04-10 00:00:00","April","58","59.8","57.3","58.95","0.01638"
"RAIN","2019-04-10 00:00:00","April","101","110.3","100.25","106.45","0.05396"
"RAJESHEXPO","2019-04-10 00:00:00","April","670","670","656.5","659.2","-0.01612"
"RAJSREESUG","2019-04-10 00:00:00","April","23.5","24.1","23","23.2","-0.01277"
"RAJTV","2019-04-10 00:00:00","April","34.45","34.45","34.45","34.45","0"
"RALLIS","2019-04-10 00:00:00","April","158.4","160.3","157.1","158.5","0.00063"
"RAMANEWS","2019-04-10 00:00:00","April","22.25","22.9","22.1","22.5","0.01124"
"RAMASTEEL","2019-04-10 00:00:00","April","121.9","124","119.45","120.8","-0.00902"
"RAMCOCEM","2019-04-10 00:00:00","April","744","761.7","744","756.7","0.01707"
"RAMCOIND","2019-04-10 00:00:00","April","210","213.65","209.3","209.95","-0.00024"
