"stock","timeStamp","month","open","high","low","close","change"
"ZUARIGLOB","2019-01-10 00:00:00","January","126.85","130.4","126.6","127.45","0.00473"
"ZYDUSWELL","2019-01-10 00:00:00","January","1333.15","1343.9","1323.6","1332.9","-0.00019"
"SURANASOL","2019-01-10 00:00:00","January","8.8","9","8.8","8.9","0.01136"
"SURANAT&P","2019-01-10 00:00:00","January","4.55","4.8","4.55","4.7","0.03297"
"SURYALAXMI","2019-01-10 00:00:00","January","43","43","41.1","42.05","-0.02209"
"SURYAROSNI","2019-01-10 00:00:00","January","244","244.6","237.65","239.9","-0.0168"
"SUTLEJTEX","2019-01-10 00:00:00","January","42.25","42.7","41.9","42.25","0"
"SUULD","2019-01-10 00:00:00","January","26","27.75","26","27.75","0.06731"
"SUVEN","2019-01-10 00:00:00","January","225.4","228.9","224","226.5","0.00488"
"SUZLON","2019-01-10 00:00:00","January","5.35","5.5","5.3","5.45","0.01869"
"SVPGLOB","2019-01-10 00:00:00","January","27","27","26.2","26.66","-0.01259"
"SWANENERGY","2019-01-10 00:00:00","January","99.3","101.8","97.4","99.6","0.00302"
"SWARAJENG","2019-01-10 00:00:00","January","1509.4","1511","1482","1503.65","-0.00381"
"SWELECTES","2019-01-10 00:00:00","January","181.37","182.73","180.4","181.2","-0.00094"
"SYMPHONY","2019-01-10 00:00:00","January","1148","1148","1125","1133.55","-0.01259"
"SYNGENE","2019-01-10 00:00:00","January","282.93","288.5","268.23","274.05","-0.03139"
"TAINWALCHM","2019-01-10 00:00:00","January","72.5","72.5","72.45","72.45","-0.00069"
"TAJGVK","2019-01-10 00:00:00","January","180","182.85","178.05","180.65","0.00361"
"TAKE","2019-01-10 00:00:00","January","148.05","149.55","148.05","148.75","0.00473"
"TALBROAUTO","2019-01-10 00:00:00","January","238.55","242.9","237","237.95","-0.00252"
"TANLA","2019-01-10 00:00:00","January","30.3","30.6","30.15","30.3","0"
"TANTIACONS","2019-01-10 00:00:00","January","4.35","4.75","4.35","4.65","0.06897"
"TARAPUR","2019-01-10 00:00:00","January","3.65","3.65","3.65","3.65","0"
"TARMAT","2019-01-10 00:00:00","January","43.45","43.45","40.2","40.9","-0.05869"
"TASTYBITE","2019-01-10 00:00:00","January","8737.95","8800","8681","8705.4","-0.00373"
"TATACHEM","2019-01-10 00:00:00","January","306.47","309.13","306.47","308.3","0.00597"
"TATACOFFEE","2019-01-10 00:00:00","January","97.1","99.55","97","99.15","0.02111"
"TATACOMM","2019-01-10 00:00:00","January","520.85","524.85","512.05","518.05","-0.00538"
"TATACONSUM","2019-01-10 00:00:00","January","212.05","215.2","212.05","214.15","0.0099"
"TATAELXSI","2019-01-10 00:00:00","January","973","977","966","969.5","-0.0036"
"TATAINVEST","2019-01-10 00:00:00","January","865","865","852.8","857.85","-0.00827"
"TATAMETALI","2019-01-10 00:00:00","January","641.3","651.05","637","648.1","0.0106"
"TATAMOTORS","2019-01-10 00:00:00","January","183.65","186.85","183.55","185.75","0.01143"
"TATAMTRDVR","2019-01-10 00:00:00","January","97.05","98.5","96.95","98.05","0.0103"
"TATAPOWER","2019-01-10 00:00:00","January","74.25","75.1","73.9","74.9","0.00875"
"TATASTEEL","2019-01-10 00:00:00","January","480","484.15","477.5","480.4","0.00083"
"TATASTLLP","2019-01-10 00:00:00","January","710.21","720.45","702.99","711.66","0.00204"
"TBZ","2019-01-10 00:00:00","January","65.25","65.8","64.1","64.35","-0.01379"
"TCIDEVELOP","2019-01-10 00:00:00","January","362","362","347.05","347.05","-0.0413"
"TCIEXP","2019-01-10 00:00:00","January","631.4","644.9","625.05","634.75","0.00531"
"TCIFINANCE","2019-01-10 00:00:00","January","16.9","16.9","14.8","14.85","-0.1213"
"TCNSBRANDS","2019-01-10 00:00:00","January","705.55","720","704.25","718.55","0.01843"
"TCPLPACK","2019-01-10 00:00:00","January","426","440","416","430","0.00939"
"TCS","2019-01-10 00:00:00","January","1853.06","1867.76","1835.51","1851.63","-0.00077"
"TDPOWERSYS","2019-01-10 00:00:00","January","127.1","129.5","126","127.9","0.00629"
"TEAMLEASE","2019-01-10 00:00:00","January","2787.85","2851.6","2754.05","2820.25","0.01162"
"TECHIN","2019-01-10 00:00:00","January","6.25","6.25","6","6","-0.04"
"TECHM","2019-01-10 00:00:00","January","695","696.95","689.15","694.55","-0.00065"
"TECHNOE","2019-01-10 00:00:00","January","248.95","248.95","241.15","245","-0.01587"
"TEJASNET","2019-01-10 00:00:00","January","218.8","222.2","215.05","221.1","0.01051"
"TERASOFT","2019-01-10 00:00:00","January","53.2","54.9","47.8","48.95","-0.07989"
"TEXINFRA","2019-01-10 00:00:00","January","55.4","57.35","55","56.15","0.01354"
"TEXMOPIPES","2019-01-10 00:00:00","January","20.85","21.45","20.75","21.2","0.01679"
"TEXRAIL","2019-01-10 00:00:00","January","57.9","58.25","57.15","57.9","0"
"TFCILTD","2019-01-10 00:00:00","January","124.1","126.3","124.05","125.05","0.00766"
"TFL","2019-01-10 00:00:00","January","5.3","5.3","4.95","5.2","-0.01887"
"TGBHOTELS","2019-01-10 00:00:00","January","16.1","17.9","16.1","16.95","0.0528"
"THANGAMAYL","2019-01-10 00:00:00","January","374.05","374.45","358","362.7","-0.03034"
"THEINVEST","2019-01-10 00:00:00","January","168.5","168.5","163.25","164.3","-0.02493"
"THEMISMED","2019-01-10 00:00:00","January","325.35","332.75","320","323.1","-0.00692"
"THERMAX","2019-01-10 00:00:00","January","1136.7","1157.95","1136.7","1144.8","0.00713"
"THOMASCOOK","2019-01-10 00:00:00","January","233.5","234.9","232.6","233.95","0.00193"
"THOMASCOTT","2019-01-10 00:00:00","January","7.95","8","7.95","8","0.00629"
"THYROCARE","2019-01-10 00:00:00","January","548.85","550","547","549.8","0.00173"
"TI","2019-01-10 00:00:00","January","480","484.15","477.5","480.4","0.00083"
"TIDEWATER","2019-01-10 00:00:00","January","1071.87","1081","1071.26","1074.14","0.00212"
"TIIL","2019-01-10 00:00:00","January","600.3","600.3","591.2","592.5","-0.01299"
"TIINDIA","2019-01-10 00:00:00","January","335.45","339.65","323","324.5","-0.03264"
"TIJARIA","2019-01-10 00:00:00","January","21.3","21.65","20.55","20.7","-0.02817"
"TIL","2019-01-10 00:00:00","January","2.09","2.19","1.99","1.99","-0.04785"
"TIMESGTY","2019-01-10 00:00:00","January","31.8","31.8","31.2","31.2","-0.01887"
"TIRUPATIFL","2019-01-10 00:00:00","January","3.09","3.09","3.09","3.09","0"
"TITAN","2019-01-10 00:00:00","January","950.4","969.4","948.55","966.7","0.01715"
"TMRVL","2019-01-10 00:00:00","January","35.2","35.35","34.25","34.95","-0.0071"
"TNPETRO","2019-01-10 00:00:00","January","40.1","41","40.05","40.25","0.00374"
"TNPL","2019-01-10 00:00:00","January","240.15","240.7","233.7","236.45","-0.01541"
"TNTELE","2019-01-10 00:00:00","January","1.6","1.6","1.6","1.6","0"
"TOKYOPLAST","2019-01-10 00:00:00","January","49.05","50","49","49.6","0.01121"
"TORNTPHARM","2019-01-10 00:00:00","January","1835","1881","1828.8","1856.5","0.01172"
"TORNTPOWER","2019-01-10 00:00:00","January","261","264.9","259.15","260.25","-0.00287"
"TOTAL","2019-01-10 00:00:00","January","101.45","101.7","99.75","100.4","-0.01035"
"TPLPLASTEH","2019-01-10 00:00:00","January","149.9","155.4","146.2","149.4","-0.00334"
"TREEHOUSE","2019-01-10 00:00:00","January","4.75","4.75","4.45","4.6","-0.03158"
"TRENT","2019-01-10 00:00:00","January","348.6","356.3","346","354.1","0.01578"
"TRF","2019-01-10 00:00:00","January","5.3","5.3","4.95","5.2","-0.01887"
"TRIDENT","2019-01-10 00:00:00","January","6.88","7.17","6.85","7.09","0.03052"
"TRIGYN","2019-01-10 00:00:00","January","86.5","87.9","85.2","86.15","-0.00405"
"TRITURBINE","2019-01-10 00:00:00","January","112.9","115.9","111.65","113","0.00089"
"TRIVENI","2019-01-10 00:00:00","January","112.9","115.9","111.65","113","0.00089"
"TTKHLTCARE","2019-01-10 00:00:00","January","756","775","750","751.75","-0.00562"
"TTKPRESTIG","2019-01-10 00:00:00","January","624.88","635.83","624.88","627.74","0.00458"
"TTL","2019-01-10 00:00:00","January","64.6","66.8","64.55","65.65","0.01625"
"TTML","2019-01-10 00:00:00","January","3.95","3.95","3.85","3.95","0"
"TV18BRDCST","2019-01-10 00:00:00","January","37.9","38.25","37.6","38.15","0.0066"
"TVSELECT","2019-01-10 00:00:00","January","194.25","198","190.1","191.7","-0.01313"
"TVSMOTOR","2019-01-10 00:00:00","January","540","545.8","537.75","540.15","0.00028"
"TVSSRICHAK","2019-01-10 00:00:00","January","2447.65","2466","2440","2459.25","0.00474"
"TVTODAY","2019-01-10 00:00:00","January","372.75","372.75","367","368.75","-0.01073"
"TWL","2019-01-10 00:00:00","January","78.05","78.1","76.5","77.15","-0.01153"
"UBL","2019-01-10 00:00:00","January","1381","1385.7","1367.3","1378.45","-0.00185"
"UCALFUEL","2019-01-10 00:00:00","January","180.1","180.1","178","178.45","-0.00916"
"UCOBANK","2019-01-10 00:00:00","January","21.15","21.15","20.7","20.8","-0.01655"
"UDAICEMENT","2019-01-10 00:00:00","January","13.99","14.18","13.53","13.83","-0.01144"
"UFLEX","2019-01-10 00:00:00","January","267.15","271.95","266.35","269.25","0.00786"
"UFO","2019-01-10 00:00:00","January","258","260.9","257","257.45","-0.00213"
"UGARSUGAR","2019-01-10 00:00:00","January","13.8","13.95","13.55","13.6","-0.01449"
"UGROCAP","2019-01-10 00:00:00","January","180.1","201","180.1","195.55","0.08579"
"UJAAS","2019-01-10 00:00:00","January","7.7","7.85","7.65","7.7","0"
"UJJIVAN","2019-01-10 00:00:00","January","286.2","288.55","284.55","287.1","0.00314"
"ULTRACEMCO","2019-01-10 00:00:00","January","3820","3847","3804.05","3818.2","-0.00047"
"UMANGDAIRY","2019-01-10 00:00:00","January","59.85","59.85","57.05","58.4","-0.02423"
"UNICHEMLAB","2019-01-10 00:00:00","January","193.35","197.5","193","195.85","0.01293"
"UNIDT","2019-01-10 00:00:00","January","152","158","150.55","155","0.01974"
"UNIENTER","2019-01-10 00:00:00","January","95.55","109.05","94.95","104","0.08844"
"UNIINFO","2019-01-10 00:00:00","January","25.75","27.85","25.6","27","0.04854"
"UNIONBANK","2019-01-10 00:00:00","January","91.8","93.55","91.15","92.8","0.01089"
"UNITECH","2019-01-10 00:00:00","January","2.05","2.1","2","2.05","0"
"UNITEDTEA","2019-01-10 00:00:00","January","349.5","349.5","341.05","348.05","-0.00415"
"UNIVASTU","2019-01-10 00:00:00","January","84","84","83.9","83.95","-0.0006"
"UNIVCABLES","2019-01-10 00:00:00","January","265","268.35","260","260.95","-0.01528"
"UPL","2019-01-10 00:00:00","January","510.53","520","510.03","515.4","0.00954"
"URJA","2019-01-10 00:00:00","January","3.21","3.21","3.02","3.02","-0.05919"
"USHAMART","2019-01-10 00:00:00","January","32.6","33.2","32.3","32.65","0.00153"
"UTTAMSTL","2019-01-10 00:00:00","January","10.3","10.4","10.15","10.25","-0.00485"
"UTTAMSUGAR","2019-01-10 00:00:00","January","99.8","103","95.1","99.5","-0.00301"
"V2RETAIL","2019-01-10 00:00:00","January","267.95","272","265","268.1","0.00056"
"VADILALIND","2019-01-10 00:00:00","January","529.65","535.95","516.05","519.7","-0.01879"
"VAIBHAVGBL","2019-01-10 00:00:00","January","145.46","145.46","142.8","143.8","-0.01141"
"VAKRANGEE","2019-01-10 00:00:00","January","37.85","37.85","37.85","37.85","0"
"VALIANTORG","2019-01-10 00:00:00","January","720","720","717.5","717.5","-0.00347"
"VARDHACRLC","2019-01-10 00:00:00","January","45","45.8","44.55","45.55","0.01222"
"VARDMNPOLY","2019-01-10 00:00:00","January","11.65","11.65","11.3","11.35","-0.02575"
"VARROC","2019-01-10 00:00:00","January","750","750","717.1","718.2","-0.0424"
"VASCONEQ","2019-01-10 00:00:00","January","18.1","19.8","18.05","18.55","0.02486"
"VASWANI","2019-01-10 00:00:00","January","12.45","12.95","11.7","12.05","-0.03213"
"VBL","2019-01-10 00:00:00","January","366.62","367.64","360.44","364.62","-0.00546"
"VEDL","2019-01-10 00:00:00","January","195","196.2","193.45","195.45","0.00231"
"VENKEYS","2019-01-10 00:00:00","January","2369","2370","2333","2337.35","-0.01336"
"VENUSREM","2019-01-10 00:00:00","January","43.3","44.5","43.2","44.1","0.01848"
"VERTOZ","2019-01-10 00:00:00","January","93.5","93.65","93.47","93.55","0.00053"
"VESUVIUS","2019-01-10 00:00:00","January","1173.45","1180.45","1162.1","1164.5","-0.00763"
"VETO","2019-01-10 00:00:00","January","70.75","71.9","70.3","71","0.00353"
